index,SATechnique,propDepth,propMethod,threshold,heuristic,dailyAccs,predictionThreshold

NASDAQ,VADER1,0,1,0.0,2,0.05,"{'2018-04-02': (0.25, 4), '2018-04-03': (0.3333333333333333, 9), '2018-04-04': (0.5714285714285714, 14), '2018-04-05': (0.47619047619047616, 21), '2018-04-06': (0.29411764705882354, 34), '2018-04-07': (0.29411764705882354, 34), '2018-04-08': (0.29411764705882354, 34), '2018-04-09': (0.29411764705882354, 51)}"

NASDAQ,VADER1,0,1,0.0,2,0.05,"{'2020-01-13': (0.0, 3), '2020-01-14': (0.18181818181818182, 11), '2020-01-15': (0.32, 25), '2020-01-16': (0.4146341463414634, 41), '2020-01-17': (0.38596491228070173, 57), '2020-01-18': (0.38596491228070173, 57), '2020-01-19': (0.38596491228070173, 57)}"

NASDAQ,VADER1,0,1,0.0,2,0.05,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,2,0.05,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,2,0.075,"{'2018-04-02': (0.25, 4), '2018-04-03': (0.3333333333333333, 9), '2018-04-04': (0.5714285714285714, 14), '2018-04-05': (0.47619047619047616, 21), '2018-04-06': (0.29411764705882354, 34), '2018-04-07': (0.29411764705882354, 34), '2018-04-08': (0.29411764705882354, 34), '2018-04-09': (0.29411764705882354, 51)}"

NASDAQ,VADER1,0,1,0.0,2,0.075,"{'2020-01-13': (0.0, 3), '2020-01-14': (0.18181818181818182, 11), '2020-01-15': (0.32, 25), '2020-01-16': (0.4146341463414634, 41), '2020-01-17': (0.3684210526315789, 57), '2020-01-18': (0.3684210526315789, 57), '2020-01-19': (0.3684210526315789, 57)}"

NASDAQ,VADER1,0,1,0.0,2,0.075,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,2,0.075,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

